table|source_rows|package_rows|status
account_snapshots|145|145|match
administrators|1|0|redacted
backtest_runs|21|21|match
backtest_trades|0|0|match
broker_gateways|3|0|redacted
data_source_states|10|10|match
fills|232|232|match
financial_report_snapshots|65666|65666|match
gateway_events|0|0|match
live_trading_accounts|0|0|redacted
market_daily_bars|1411518|1411518|match
market_daily_metrics|1434423|1434423|match
notification_channels|0|0|redacted
notification_deliveries|0|0|match
orders|232|232|match
positions|80|80|match
probability_candidate_decisions|3200|3200|match
probability_model_artifacts|16|16|match
probability_portfolio_runs|32|32|match
probability_training_samples|110|110|match
quant_candidate_scores|390677|390677|match
quant_portfolio_decisions|91|91|match
quant_strategy_tasks|197|197|match
risk_events|706|706|match
risk_settings|2|2|match
signals|232|232|match
simulation_account_ledgers|286|286|match
simulation_accounts|14|14|match
stock_events|100342|100342|match
stocks|5559|5559|match
strategy_backtest_qualifications|21|21|match
strategy_configs|14|14|match
strategy_definitions|12|12|match
strategy_dry_run_approvals|6|6|match
strategy_logs|334|334|match
strategy_performance_daily|303|303|match
strategy_position_lots|75|75|match
strategy_risk_profiles|9|9|match
strategy_runs|1137|1137|match
strategy_schedules|28|28|match
trading_agent_batches|0|0|match
trading_agent_candidate_analyses|0|0|match
trading_agent_portfolio_decisions|0|0|match
watchlist_items|1|1|match
